standard_name,dataset,original_name,transform,notes
# URL structure & length
url_length,A,UrlLength,copy,
url_length,B,length_url,copy,
url_length,C,url_length,copy,
hostname_length,A,HostnameLength,copy,
hostname_length,B,length_hostname,copy,
hostname_length,C,domain_length,copy,
path_length,A,PathLength,copy,
path_length,C,path_length,copy,
query_length,A,QueryLength,copy,
query_length,C,query_length,copy,
subdomain_depth,A,SubdomainLevel,copy,
subdomain_depth,B,nb_subdomains,copy,
subdomain_depth,C,subdomain_depth,copy,
path_depth,A,PathLevel,copy,
path_depth,C,path_depth,copy,
has_double_slash_in_path,A,DoubleSlashInPath,to_bool,
has_double_slash_in_path,B,nb_dslash,gt_zero,counts of '//' beyond scheme,
# Character composition
num_dots,A,NumDots,copy,
num_dots,B,nb_dots,copy,
num_dots,C,num_dots,copy,
num_hyphens,A,NumDash,copy,
num_hyphens,B,nb_hyphens,copy,
num_hyphens,C,num_hyphens,copy,
num_at_symbols,A,AtSymbol,copy,
num_at_symbols,B,nb_at,copy,
num_at_symbols,C,num_at,copy,
num_tildes,A,TildeSymbol,copy,
num_tildes,B,nb_tilde,copy,
num_underscores,A,NumUnderscore,copy,
num_underscores,B,nb_underscore,copy,
num_percents,A,NumPercent,copy,
num_percents,B,nb_percent,copy,
num_percents,C,num_pct,copy,
num_ampersands,A,NumAmpersand,copy,
num_ampersands,B,nb_and,copy,
num_hashes,A,NumHash,copy,
num_hashes,C,fragment_length,gt_zero,1 if fragment length > 0 else 0,
num_query_params,A,NumQueryComponents,copy,
num_query_params,B,nb_qm,copy,
num_query_params,B,nb_eq,sum_or_max,combine nb_qm and nb_eq if desired,
num_numeric_chars,A,NumNumericChars,copy,
num_numeric_chars,C,num_digits,copy,
num_slashes,B,nb_slash,copy,
# HTTPS & security
uses_https,A,NoHttps,invert_bool,1 if HTTPS else 0
uses_https,C,uses_https,to_bool,
https_in_hostname,A,HttpsInHostname,to_bool,
https_in_hostname,B,https_token,to_bool,
http_in_path,B,http_in_path,to_bool,
has_insecure_forms,A,InsecureForms,to_bool,
has_insecure_forms,B,sfh,to_bool,
has_insecure_forms,C,form_action_external,to_bool,
has_submit_email,A,SubmitInfoToEmail,to_bool,
has_submit_email,B,submit_email,to_bool,
has_iframe,A,IframeOrFrame,to_bool,
has_iframe,B,iframe,to_bool,
has_iframe,C,n_iframes,gt_zero,
has_popup,A,PopUpWindow,to_bool,
has_popup,B,popup_window,to_bool,
abnormal_form_action,A,AbnormalFormAction,to_bool,
abnormal_form_action,B,sfh,to_bool,
abnormal_form_action,C,form_action_external,to_bool,
# Domain & brand
has_ip_address,A,IpAddress,to_bool,
has_ip_address,B,ip,to_bool,
has_ip_address,C,domain_has_ip,to_bool,
has_ip_address,C,has_ip_host,to_bool,
domain_in_subdomain,A,DomainInSubdomains,to_bool,
domain_in_subdomain,B,tld_in_subdomain,to_bool,
domain_in_path,A,DomainInPaths,to_bool,
domain_in_path,B,tld_in_path,to_bool,
has_random_domain,A,RandomString,to_bool,
has_random_domain,B,random_domain,to_bool,
has_prefix_suffix,B,prefix_suffix,to_bool,
brand_in_subdomain,A,EmbeddedBrandName,to_bool,
brand_in_subdomain,B,brand_in_subdomain,to_bool,
brand_in_path,A,EmbeddedBrandName,to_bool,
brand_in_path,B,brand_in_path,to_bool,
domain_in_brand,B,domain_in_brand,to_bool,
frequent_domain_mismatch,A,FrequentDomainNameMismatch,to_bool,
frequent_domain_mismatch,B,abnormal_subdomain,to_bool,
# HTML / tags / content
missing_title,A,MissingTitle,to_bool,
missing_title,B,empty_title,to_bool,
missing_title,C,title_len,eq_zero,1 if title_len == 0 else 0,
external_favicon,A,ExtFavicon,to_bool,
external_favicon,B,external_favicon,to_bool,
external_favicon,C,has_favicon_external,to_bool,
external_script_ratio,A,ExtMetaScriptLinkRT,copy,ratio 0..1
external_script_ratio,B,links_in_tags,copy,ratio 0..1
external_script_ratio,C,css_external_ratio,copy,ratio 0..1
external_link_ratio,A,PctExtHyperlinks,copy,ratio 0..1
external_link_ratio,B,ratio_extHyperlinks,copy,ratio 0..1
external_link_ratio,C,ratio_external_links,copy,ratio 0..1
external_resource_ratio,A,PctExtResourceUrls,copy,ratio 0..1
external_resource_ratio,B,ratio_extMedia,copy,ratio 0..1
null_self_redirect_ratio,A,PctNullSelfRedirectHyperlinksRT,copy,ratio 0..1
null_self_redirect_ratio,B,ratio_nullHyperlinks,copy,ratio 0..1
has_only_images_in_form,A,ImagesOnlyInForm,to_bool,
# Interaction
fake_link_statusbar,A,FakeLinkInStatusBar,to_bool,
fake_link_statusbar,B,onmouseover,to_bool,
right_click_disabled,A,RightClickDisabled,to_bool,
right_click_disabled,B,right_clic,to_bool,
popup_window,A,PopUpWindow,to_bool,
popup_window,B,popup_window,to_bool,
# Ratios & randomness
ratio_ext_hyperlinks,A,PctExtHyperlinks,copy,
ratio_ext_hyperlinks,B,ratio_extHyperlinks,copy,
ratio_ext_hyperlinks,C,ratio_external_links,copy,
ratio_ext_media,A,PctExtResourceUrls,copy,
ratio_ext_media,B,ratio_extMedia,copy,
url_entropy,C,url_entropy,copy,
char_repeat_ratio,B,char_repeat,copy,
# Domain info & popularity
dns_record_exists,B,dns_record,to_bool,
domain_registration_length,B,domain_registration_length,copy,
domain_age,B,domain_age,copy,
web_traffic_rank,B,web_traffic,copy,
page_rank,B,page_rank,copy,
