Model,Train_Set,Test_Set,Type,Accuracy,F1_Score,ROC_AUC,PR_AUC,Precision,Recall,Gen_Gap_AUC
LogisticRegression,A,A,Baseline (Full),0.952,0.9523809523809523,0.986837,0.9863620061790397,0.9448818897637795,0.96,0.0
RandomForest,A,A,Baseline (Full),0.9855,0.9854927463731866,0.998927,0.9989998603748187,0.985985985985986,0.985,0.0
FT-Transformer,A,A,Baseline (Full),0.9755,0.975682382133995,0.99678,0.9970938096061435,0.9684729064039409,0.983,0.0
LogisticRegression,B,B,Baseline (Full),0.9365704286964129,0.9364870784056066,0.9815607038621484,0.9808852290157458,0.9377192982456141,0.9352580927384077,0.0
RandomForest,B,B,Baseline (Full),0.9601924759405074,0.9603139991277801,0.99305024535975,0.9926698461757051,0.957391304347826,0.963254593175853,0.0
FT-Transformer,B,B,Baseline (Full),0.9562554680664916,0.9560246262093228,0.9893275589020314,0.9883515121853357,0.9610963748894783,0.9510061242344707,0.0
LogisticRegression,C,C,Baseline (Full),0.9241663678737899,0.8993576017130621,0.9738076163811252,0.9600231894529101,0.9021479713603818,0.896584440227704,0.0
RandomForest,C,C,Baseline (Full),0.9673718178558623,0.9566666666666667,0.9949379747250764,0.9924938835917645,0.9603250478011472,0.9530360531309298,0.0
FT-Transformer,C,C,Baseline (Full),0.9553603442093941,0.9415630133771415,0.9907873942549038,0.9864371529407127,0.931723176962378,0.9516129032258065,0.0
LogisticRegression,A,A,Baseline (Common),0.8635,0.8626069451434323,0.9496490000000001,0.9492935669344015,0.8682877406281662,0.857,0.0
RandomForest,A,A,Baseline (Common),0.984,0.9840319361277445,0.9979910000000001,0.9981119710357531,0.9820717131474104,0.986,0.0
FT-Transformer,A,A,Baseline (Common),0.9745,0.9746394828443561,0.9944999999999999,0.9946115322478244,0.9693372898120672,0.98,0.0
LogisticRegression,B,B,Baseline (Common),0.7865266841644795,0.7813620071684588,0.8692784792976993,0.8746235219163769,0.800734618916437,0.7629046369203849,0.0
RandomForest,B,B,Baseline (Common),0.8910761154855643,0.8899690676093681,0.954568835063596,0.959160734056985,0.8991071428571429,0.8810148731408574,0.0
FT-Transformer,B,B,Baseline (Common),0.8639545056867891,0.8571428571428571,0.9375589862290835,0.943098872367162,0.902321083172147,0.8162729658792651,0.0
LogisticRegression,C,C,Baseline (Common),0.8607027608461815,0.8094186902133922,0.9338127293308326,0.9011964603859154,0.8379888268156425,0.7827324478178368,0.0
RandomForest,C,C,Baseline (Common),0.9463965579060595,0.9288941736028538,0.9875067671393183,0.9798907567070689,0.9313304721030042,0.9264705882352942,0.0
