id,url_length,hostname_length,path_length,query_length,subdomain_depth,path_depth,num_dots,num_hyphens,num_at_symbols,num_percents,num_numeric_chars,uses_https,has_insecure_forms,has_iframe,abnormal_form_action,has_ip_address,external_favicon,external_link_ratio,ratio_ext_hyperlinks,url_entropy,label
1,34,12,15,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3.998653,1
2,40,15,13,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,3.956198,0
3,48,16,20,0,1,2,3,0,0,0,6,1,1,0,1,0,1,0.051948,0.051948,4.084148,0
4,52,16,24,0,1,3,3,1,0,0,0,1,0,1,0,0,0,0.166667,0.166667,4.101681,0
5,33,11,9,0,1,1,4,0,0,0,0,1,0,1,0,0,0,0.517241,0.517241,4.063651,0
6,66,14,41,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,4.352747,0
7,42,34,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0.8,0.8,4.218884,1
8,82,17,57,0,0,4,1,9,0,0,8,1,1,0,1,0,1,0.034884,0.034884,4.411954,0
9,32,19,1,0,1,0,3,0,0,0,0,1,0,1,0,0,1,0.333333,0.333333,4.007049,0
10,30,8,1,5,1,0,2,0,0,0,1,1,0,0,0,0,1,0.384615,0.384615,4.189898,0
11,33,12,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0.581395,0.581395,3.980169,0
12,80,10,59,0,1,2,3,5,0,0,0,0,0,0,0,0,0,1,1,4.318254,0
13,36,11,13,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0.020588,0.020588,3.995907,0
14,64,16,37,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0.02459,0.02459,4.148133,0
15,83,27,48,0,0,2,1,3,0,0,0,1,0,0,0,0,1,0.081818,0.081818,4.179754,0
16,35,7,20,0,0,2,2,0,0,0,0,1,1,0,1,0,1,0,0,4.193429,1
17,39,15,10,0,1,1,3,0,0,0,4,1,1,1,1,0,1,0.268817,0.268817,4.470673,0
18,44,12,20,0,1,3,2,0,0,0,0,1,0,0,0,0,1,0.141732,0.141732,4.036041,0
19,42,11,1,0,2,0,3,1,0,0,1,1,0,0,0,0,0,0,0,4.198533,1
