id,url_length,hostname_length,path_length,query_length,subdomain_depth,path_depth,has_double_slash_in_path,num_dots,num_hyphens,num_at_symbols,num_tildes,num_underscores,num_percents,num_ampersands,num_hashes,num_query_params,num_numeric_chars,uses_https,https_in_hostname,has_insecure_forms,has_submit_email,has_iframe,has_popup,abnormal_form_action,has_ip_address,domain_in_subdomain,domain_in_path,has_random_domain,brand_in_subdomain,brand_in_path,frequent_domain_mismatch,missing_title,external_favicon,external_link_ratio,external_resource_ratio,null_self_redirect_ratio,has_only_images_in_form,fake_link_statusbar,right_click_disabled,popup_window,ratio_ext_hyperlinks,ratio_ext_media,label
1,72,21,44,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,,1,0,0,0,0,0.25,1
2,144,17,16,103,1,3,0,3,0,0,0,2,0,1,0,2,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
3,58,27,24,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.375,1,,0,0,0,0,0.375,1,1
4,79,22,50,0,1,6,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.095238095,,0,0,0,0,1,0.095238095,1
5,46,10,29,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,,0,0,0,0,1,1,1
6,42,23,12,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0.1,1,,0,0,0,0,0.1,1,1
7,60,17,36,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0.909090909,1,,0,0,0,0,0.909090909,1,1
8,30,12,11,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
9,76,65,4,0,7,2,0,8,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
10,46,14,25,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,,0,0,0,0,1,1,1
11,64,53,4,0,4,2,0,5,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
12,47,22,18,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,0,0,0,0,1,1,1
13,61,43,10,0,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
14,35,16,12,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
15,60,43,10,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
16,73,33,33,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.076923077,,0,0,0,0,1,0.076923077,1
17,50,13,30,0,0,5,0,3,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,1
18,59,36,16,0,1,2,0,3,1,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,,0,0,0,0,1,1,1
19,28,9,12,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
20,59,12,40,0,0,4,0,1,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.125,,0,0,0,0,0,0.125,1
21,32,11,14,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,1
22,52,25,20,0,1,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.153846154,,0,0,0,0,0,0.153846154,1
23,62,18,37,0,1,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.833333333,0.235294118,,0,0,0,0,0.833333333,0.235294118,1
24,105,11,87,0,0,10,0,1,2,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
25,55,31,17,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,,0,0,0,0,1,1,1
26,134,14,56,56,0,3,0,5,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
27,43,14,22,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.785714286,,0,0,0,0,0,0.785714286,1
28,210,9,54,139,0,3,0,6,2,0,0,7,0,4,0,5,24,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.904761905,,0,0,0,0,0,0.904761905,1
29,135,22,51,54,0,7,0,2,2,0,0,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
30,85,9,69,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0.655172414,0.928571429,,0,0,0,0,0.655172414,0.928571429,1
31,80,32,41,0,1,3,0,2,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
32,44,19,18,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.142857143,,0,0,0,0,1,0.142857143,1
33,95,10,78,0,0,9,0,3,0,0,0,0,4,0,0,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,1
34,60,15,38,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
35,60,12,41,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.75,0.222222222,,0,0,0,0,0.75,0.222222222,1
36,100,22,18,52,0,2,0,6,1,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,0,0,0,0,1,1,1
37,111,22,18,52,0,2,0,6,1,0,0,0,0,0,1,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,0,0,0,0,1,1,1
38,29,16,6,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
39,37,24,6,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,,0,0,0,0,0,1,1
40,49,24,18,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,,0,0,1,0,0,1,1
41,34,14,13,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.142857143,,0,0,0,0,1,0.142857143,1
42,53,22,24,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,,0,0,0,0,1,1,1
43,45,14,24,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.142857143,,0,0,0,0,1,0.142857143,1
44,65,16,42,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.777777778,0.222222222,,0,0,0,0,0.777777778,0.222222222,1
45,182,30,37,107,1,2,0,5,0,0,0,0,0,0,0,1,75,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
46,47,19,21,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.675675676,,0,0,0,0,0.5,0.675675676,1
47,55,16,32,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
48,62,13,42,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.714285714,0.03125,,0,0,0,0,0.714285714,0.03125,1
49,59,18,34,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
50,39,18,14,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,0,0,0,0,1,1,1
51,41,11,23,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,,0,0,0,0,1,1,1
52,142,14,121,0,0,3,0,2,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
53,29,17,5,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
54,51,16,28,0,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0,,0,0,0,0,0.75,0,1
55,39,15,17,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0.8,1,,0,0,0,0,0.8,1,1
56,48,24,17,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.153846154,,0,0,0,0,0,0.153846154,1
57,59,27,25,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
58,129,22,51,48,0,7,0,2,2,0,0,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
59,34,22,5,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.111111111,,0,0,0,0,0.25,0.111111111,1
60,184,76,34,66,7,2,0,8,2,0,0,0,0,1,0,2,26,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333333333,,0,0,0,0,0,0.333333333,1
61,184,76,34,66,7,2,0,8,2,0,0,0,0,1,0,2,33,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333333333,,0,0,0,0,0,0.333333333,1
62,135,22,51,54,0,7,0,2,2,0,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
63,133,22,51,52,0,7,0,2,2,0,0,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
64,52,17,28,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0,,0,0,0,0,0.75,0,1
65,58,17,15,18,2,1,0,4,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,1,0,1
66,120,23,90,0,1,5,0,5,1,0,0,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0.857142857,1,,0,0,0,0,0.857142857,1,1
67,48,16,25,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,,0,0,0,0,1,1,1
