url_length,hostname_length,subdomain_depth,has_double_slash_in_path,num_dots,num_hyphens,num_at_symbols,num_tildes,num_underscores,num_percents,num_ampersands,num_query_params,num_slashes,https_in_hostname,http_in_path,has_insecure_forms,has_submit_email,has_iframe,has_popup,abnormal_form_action,has_ip_address,domain_in_subdomain,domain_in_path,has_random_domain,has_prefix_suffix,brand_in_subdomain,brand_in_path,domain_in_brand,frequent_domain_mismatch,missing_title,external_favicon,external_link_ratio,external_resource_ratio,null_self_redirect_ratio,fake_link_statusbar,right_click_disabled,popup_window,ratio_ext_hyperlinks,ratio_ext_media,char_repeat_ratio,dns_record_exists,domain_registration_length,domain_age,web_traffic_rank,page_rank,label
37,19,3,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235,0,0,0,0,0,0.470588235,0,4,1,45,-1,0,4,0
77,23,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.033333333,20,0,0,0,0,0.033333333,20,4,0,77,5767,0,2,1
126,50,3,0,4,1,0,0,2,0,2,1,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,4004,5828815,0,1
18,11,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026845638,3.571428571,0,0,0,0,0.026845638,3.571428571,0,0,62,-1,107721,3,0
55,15,2,0,2,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529411765,100,0,0,0,0,0.529411765,100,3,0,224,8175,8725,6,0
32,24,3,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0,0,0,0,0,0.7,0,3,0,0,-1,0,0,1
19,12,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.918367347,100,0,0,0,0,0.918367347,100,3,0,170,7529,0,1,0
81,27,2,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.033333333,20,0,0,0,0,0.033333333,20,8,0,76,5767,0,2,1
42,34,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.793650794,100,0,0,0,0,0.793650794,100,0,0,371,7298,0,5,0
104,10,1,0,1,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.221428571,90,0,0,0,0,0.221428571,90,0,0,128,9368,6774,5,0
56,22,3,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-1,1627089,2,0
43,16,2,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0.068181818,0,3,0,489,7911,944,6,0
83,14,1,0,1,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224615385,1.5503875969999998,0,0,0,0,0.224615385,1.5503875969999998,2,0,320,1505,158942,4,0
31,10,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,66,1761,1173197,4,1
25,16,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.066350711,0,0,0,0,0,0.066350711,0,4,0,880,2041,4297684,2,0
51,23,3,0,3,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,490,3892,0,4,1
31,22,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0,3,0,3069,8301,99386,4,0
50,21,2,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337,2316,0,0,1
34,23,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,352,2935,0,0,1
27,19,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02283105,0,0,0,0,0,0.02283105,0,3,0,451,3932,927214,2,0
63,14,3,0,3,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.115646259,12.5,0,0,0,0,0.115646259,12.5,3,0,70,8759,26017,5,0
